holding_cost,order_fixed,stockout_penalty,learning_rate,n_steps,n_epochs,vf_coef,ent_coef,batch_size,rl_avg_profit,rl_avg_stockouts,rl_avg_inventory,train_time_s
0.5,5.0,50.0,0.0001,1024,5,0.25,0.0,64,293.78255033274235,65.72000860744927,35.13094352748296,83.23999404907227
0.5,5.0,50.0,0.0001,1024,5,0.25,0.01,64,297.2238409635999,63.33485283929408,34.939862745885975,91.02742123603821
0.5,5.0,50.0,0.0001,1024,8,0.25,0.0,64,276.16374108559955,198.39302614871366,49.70646005787262,103.51004028320312
0.5,5.0,50.0,0.0001,1024,8,0.25,0.01,64,284.9870818945054,1.139769140904616,60.79206535861916,110.18036246299744
0.5,5.0,100.0,3e-05,512,5,0.25,0.0,64,246.4249188830792,0.0,134.5829205196851,86.11289286613464
0.5,5.0,100.0,3e-05,512,5,0.25,0.01,64,267.26304574213225,0.0,95.2755828815617,86.61766910552979
0.5,5.0,100.0,3e-05,512,8,0.25,0.0,64,254.56890015132777,0.0,117.01746202860792,110.25338363647461
0.5,5.0,100.0,3e-05,512,8,0.25,0.01,64,259.7300450260061,0.0,105.20292184908097,109.81644749641418
0.5,5.0,100.0,3e-05,2048,5,0.25,0.0,64,267.3866977789794,0.0,95.47270082865676,84.99270129203796
0.5,5.0,100.0,3e-05,2048,5,0.25,0.01,64,272.46111890559735,0.0,85.35256236455213,82.62416791915894
0.5,5.0,100.0,3e-05,2048,8,0.25,0.0,64,278.93749360197705,0.0,73.2574624675594,106.01856684684753
0.5,5.0,100.0,3e-05,2048,8,0.25,0.01,64,275.7643149409622,0.0,79.09076766758749,112.39708852767944
0.5,5.0,100.0,3e-05,1024,5,0.25,0.0,64,247.3068345285018,0.0,129.66848706807176,84.94903063774109
0.5,5.0,100.0,3e-05,1024,5,0.25,0.01,64,271.75223482008886,0.0,86.89802295005485,81.19427132606506
0.5,5.0,100.0,3e-05,1024,8,0.25,0.0,64,280.50346692101806,0.0,70.95614838064533,103.47726130485535
0.5,5.0,100.0,3e-05,1024,8,0.25,0.01,64,271.73946251531345,0.0,87.03947999091999,103.5344307422638
0.5,5.0,100.0,0.0001,512,5,0.25,0.0,64,279.6338318625029,0.2045486341557158,69.38460501892925,81.60755968093872
0.5,5.0,100.0,0.0001,512,5,0.25,0.01,64,283.74166189425677,0.0,59.536430832327234,82.841064453125
0.5,5.0,100.0,0.0001,512,8,0.25,0.0,64,263.09006720891557,0.0,100.967555301614,106.55653285980225
0.5,5.0,100.0,0.0001,512,8,0.25,0.01,64,263.2335892429143,72.91999754003145,82.0924523591342,106.28747129440308
